,text,sentiment,polarity,timestamp,sentiment_def
0,"['app', 'advertir', 'usarlo', 'jailbreak', 'permitir', 'usarlo', 'bajar', 'riesgo']",0.07435352355241776,0.0,2020-02-16 23:42:53,Negative
1,"['cuidar', 'iniciativo', 'privar', 'recorte', 'masivo', 'banco', 'comer', 'santander', 'españolar', 'banamex', 'achacar', 'bajar', 'crecimiento', 'cuidar', 'teorias', 'panico', 'continuan', 'formar']",0.6749882698059082,0.5,2020-02-16 23:42:37,Neutral
2,"['metrocentro', 'sabado', 'noche', 'pic', 'pfhycmyjq']",3.5403390938881785e-05,0.0,2020-02-16 23:37:32,Negative
3,"['aflijido', 'sendos', 'caguama']",0.4529048204421997,0.5,2020-02-16 22:42:16,Neutral
6,"['arruinandome', 'comer']",0.018254943192005157,0.0,2020-02-16 22:05:25,Negative
7,"['uaz', 'placa', 'kia', 'abrir', 'aforar', 'teziutlan', 'qur', 'dueño', 'jcarlos_valeriopic', 'gzbhifummx']",0.9988712668418884,1.0,2020-02-16 21:59:21,Positive
8,"['linear', '         ', 'pedir', 'sucursal', 'numerar', 'practicaja', 'ticket']",0.21480584144592285,0.0,2020-02-16 21:28:35,Negative
9,"['peder', 'falto', 'seguridad', 'resultar', 'magicamente', 'ayudarte', 'ningun', 'movimiento', 'dato', 'tarjeta', 'ingresar', 'correctamente']",0.1358211785554886,0.0,2020-02-16 21:26:46,Negative
10,"['acabar', 'linear', 'excelente', 'servicio', 'ivanvillagomez', 'bbvare_mx', 'bbva_mex']",0.9764518737792969,1.0,2020-02-16 21:15:46,Positive
11,"['wallet', 'posteriormente', 'efectuar', 'contratacion', 'tarjeta', 'digital', 'adicional', 'parir', 'efectuar', 'descargar', 'confirmarnos', 'servicio', 'alertar', 'activar']",0.9991099238395691,1.0,2020-02-16 21:06:10,Positive
12,"['aly', 'finalidad', 'apoyarte', 'torrar', 'ubicar', 'avenir', 'pasear', 'reformar', 'numerar', 'colonia', 'juarez', 'alcaldia', 'cuauhtemoc', '        ', 'ciudad', 'mexico', 'recabar', 'dato', 'verificar', 'identidad', 'avisar', 'privacidad', 'integral']",0.009130721911787987,0.0,2020-02-16 20:08:15,Negative
13,"['querer', 'checar', 'app']",0.3128294348716736,0.0,2020-02-16 19:07:18,Negative
14,"['hola', 'jesus', 'excelente', 'domingo', 'atender', 'araceli', 'agradecer', 'informacion', 'compartir', 'confirmar', 'numerar', 'pertenecer', 'unico', 'numerar', 'emitir', 'alertar', 'seguridad']",0.23308907449245453,0.0,2020-02-16 18:19:40,Negative
15,"['dile', 'plasticos', 'plantar', 'falso', 'ocupar', 'plasticos', 'liverpool']",0.000941652397159487,0.0,2020-02-16 18:08:34,Negative
16,"['aceptar', 'credito', 'debitar', 'santander', 'casar']",0.7686758637428284,1.0,2020-02-16 18:08:20,Positive
18,"['atencion', 'cliente', 'deficiente', 'sistema', 'turno', 'mongolico', 'tomar', 'siglo', 'atenderte', 'mejorar', 'sucursal', 'electronicas', 'banamex', 'encimar', 'pequeño', 'fraude', 'ocasionalmente']",0.9538862109184265,1.0,2020-02-16 17:36:15,Positive
19,['preferir'],0.9998668432235718,1.0,2020-02-16 17:26:47,Positive
20,"['app', 'advertir', 'usarlo', 'jailbreak', 'permitir', 'usarlo', 'bajar', 'riesgo']",0.9028334021568298,1.0,2020-02-16 23:42:53,Positive
21,"['cuidar', 'iniciativo', 'privar', 'recorte', 'masivo', 'banco', 'comer', 'santander', 'españolar', 'banamex', 'achacar', 'bajar', 'crecimiento', 'cuidar', 'teorias', 'panico', 'continuan', 'formar']",0.9769260287284851,1.0,2020-02-16 23:42:37,Positive
22,"['metrocentro', 'sabado', 'noche', 'pic', 'pfhycmyjq']",3.5403390938881785e-05,0.0,2020-02-16 23:37:32,Negative
23,"['aflijido', 'sendos', 'caguama']",0.4529048204421997,0.5,2020-02-16 22:42:16,Neutral
26,"['arruinandome', 'comer']",0.018254943192005157,0.0,2020-02-16 22:05:25,Negative
27,"['uaz', 'placa', 'kia', 'abrir', 'aforar', 'teziutlan', 'qur', 'dueño', 'jcarlos_valeriopic', 'gzbhifummx']",0.03525177016854286,0.0,2020-02-16 21:59:21,Negative
28,"['linear', '         ', 'pedir', 'sucursal', 'numerar', 'practicaja', 'ticket']",0.21480584144592285,0.0,2020-02-16 21:28:35,Negative
